CAN DOI KE TOAN	 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011	 2010	Q4 2010	 2009	Q4 2009
Tài sản ngắn hạn###Current Assets	1548657	1622783	6001354	6379673	5368441	6141774	6745417	5971486	8979917	7362361	7505804	10937694	11815860	10029956	8372662	8200200	7239493	5530393	4606369	3935355	2933079	3294703	3594570	3456994	3456994	7381433	7381433	5637587	5637587	5456323	5456323	521015	521015	11	11
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	261393	292049	1072460	269382	228295	228295	279259	353883	272134	173106	173106	282405	190823	1482982	170397	170397	304176	41489	129349	18714	18714	11026	15686	49226	49226	349665	349665	619371	619371	670603	670603	115927	115927	11	11
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	151424	149440	91772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747597	747597	1360497	1360497	2206997	2206997	1209733	1209733	876900	876900	380000	380000	327056	327056	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	846162	828785	2733963	2210909	1276290	1277987	1809805	2612320	4821271	2649548	2588326	3951132	3755562	3045429	2973939	3179254	1940089	992689	2890219	1789312	1789297	1554779	1781703	834562	834562	896962	896962	1281833	1281833	1140704	1140704	77726	77726	0	0
Hàng tồn kho###Inventory	205044	305072	1894988	3343857	3212766	3984764	3642613	2394778	2381768	2439066	2489909	5947058	5937907	5059185	4818134	4440357	4596586	4234808	1384109	1276757	366601	347362	324793	285444	285444	4865601	4865601	2814645	2814645	3159877	3159877	0	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	84633	47438	208172	555525	651091	650728	1013740	610505	1504743	2100641	2254462	757099	1931569	442360	410192	410192	398643	261407	202692	102975	10870	21039	111891	80765	80765	59472	59472	44838	44838	105138	105138	306	306	0	0
Tài sản dài hạn###Non-current Assets	15497389	15493494	12611153	13063237	17176560	17151784	16268278	15860068	15263234	15500441	16762037	15823630	13283900	1929575	1968826	2251518	1157653	1271586	1332458	1454865	2446053	6150041	6127186	6871624	6871624	5226288	5226288	5541680	5541680	2144416	2144416	1407911	1407911	72068	72068
Các khoản phải thu dài hạn###Long term Account Receivable	988403	1208678	371598	213089	641661	641662	16662	16668	16661	16661	16661	13521	12173	10821	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	504287	516022	468829	473235	2395333	2395333	2009040	2037515	2397749	2415142	2415142	1392420	1266074	917138	930550	930550	941906	952196	956701	967500	967500	961323	990212	2090645	973042	435246	18089	19756	19756	19597	19597	261	261	72068	72068
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-144173	-143722	-138992	-134621	-415917	-415917	-324527	-295341	-349217	-326751	-326751	-258759	-235815	-163240	-149939	-149939	-134368	-121609	-107720	-98574	-98574	-83538	-75160	-51091	-51091	-4506	-4506	-4844	-4844	-1770	-1770	-13	-13	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-732	-692	-661	-625	-1088	-1088	-1037	-965	-862	-750	-750	-1959	-1619	-1361	-1207	-1207	-1055	-926	-774	-624	-624	-479	-342	-72	-72	-57	-57	-33	-33	-11	-11	0	0	0	0
Lợi thế thương mại	0	0	0	0	31680	31680	33930	33930	35043	36144	36144	37269	38394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	815417	923162	936111	613809	622088	622088	637405	645796	159396	144437	144437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417579	417579	891167	891167	391435	391435	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	12610442	12257838	10198109	10771785	11170636	11193497	10989364	10574787	10015137	10364918	11666858	11315812	8990105	141482	144891	144891	28500	28500	83991	188083	187616	3910983	3884093	4593609	4593609	4285221	4285221	4139315	4139315	1335000	1335000	0	0	0	0
