CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	680745	656106	656106	655417	726164	701395	701349	701349	717995	726045	730504	669107	669107	665084	756177	762337	724416	724416	713123	635294	554863	535855	535855	526362	528551	514597	495651	495651	489278	507656	416563	401909	401328	493393	488497	551599	524626	523377	505391	526270	513684	477219	462327	418822	383711	348005	340612	340888	358115	334444	337413	365421	365317	345318	316226	403421	372070	372070	407675	354384	387333	241085	111897
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	115889	287728	287728	89844	86462	50990	85945	85945	74044	122532	50093	30448	30448	43844	104963	168255	134067	134067	155457	108220	134395	255261	255261	192114	179495	200714	203577	203577	61193	97186	133349	120249	98249	140848	121758	139522	176915	176915	143362	111002	76282	63576	63576	140493	146452	107105	82354	82354	127183	134594	122839	136890	136890	120229	31190	31201	42240	42240	113707	110328	40662	140351	48412
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	420200	211100	211100	372475	442475	444300	452700	452700	492330	471630	489980	455280	455280	471740	510080	443850	454490	454490	413080	362457	286857	150000	150000	195300	217300	162000	152000	152000	267000	278500	153500	149500	171500	209500	224500	262500	203000	203000	193000	228000	260000	250000	250000	138000	125140	162077	182077	182077	145980	124050	137050	148385	148385	150118	206118	288110	231950	231950	213185	166446	265528	30000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	65176	73862	73862	111063	110408	122036	75557	75557	70489	45528	100080	77924	77924	53203	43382	55802	40848	40848	50772	73931	41815	42310	42310	51853	40113	60606	49937	49880	69952	42660	40687	38642	38669	52804	49333	56961	49489	48344	68382	70871	67845	70823	70609	66637	36722	27821	29077	29427	30687	5955	9067	9555	9451	7709	10258	20040	24518	24518	18178	11076	9053	19700	30995
Hàng tồn kho###Inventory	74341	74170	74170	72226	73793	75179	76984	76984	70307	72223	74438	77494	77494	79645	82170	82999	83555	83555	85537	85302	84737	82908	82908	81977	82224	81694	81607	81607	81315	80976	80983	85159	85159	84977	88816	90794	91113	90959	92966	104985	93747	84597	69918	72566	72574	49562	46292	46218	53591	68326	67578	68711	68711	63437	60785	63358	71507	71507	62254	66292	68527	50282	31148
Tài sản ngắn hạn khác###Other Current Assets	5139	9247	9247	9809	13025	8889	10163	10163	10825	14132	15914	27961	27961	16651	15582	11432	11457	11457	8277	5384	7059	5376	5376	5117	9419	9584	8530	8587	9818	8335	8044	8359	7751	5264	4091	1823	4109	4159	7680	11412	15809	8223	8223	1125	2823	1441	812	812	674	1519	879	1880	1880	3825	7875	711	1856	1856	352	242	3563	752	1342
Tài sản dài hạn###Non-current Assets	979672	980934	980934	958628	940074	919688	897893	897893	885713	875839	855977	846647	846647	857096	806621	773253	784018	784018	773566	771706	766995	750894	750894	747436	759438	730232	738787	738787	734264	731238	738034	741359	741362	628921	603612	567224	561203	561703	511099	505341	506190	509702	509690	446366	450083	447627	459425	463553	436163	424649	423372	422314	421957	390811	373897	280864	273603	284352	281521	284432	210661	182489	155459
Các khoản phải thu dài hạn###Long term Account Receivable	3681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7588	7588	8161	10580	10580	11601	11601	12298	14294	19416	15806	15806	17440	11500	8500	8860	9360	7520	3840	2000	0	0	17527	20028	25610	30426	30426	12637	15051	18533	20172	20172	21332	22362	15685	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	138536	144084	144084	147161	151848	155376	160414	160414	162953	140487	141586	146611	146611	146948	151347	154504	157434	157434	163420	170000	166910	173063	173063	167755	173475	179300	185736	185736	185825	181630	193382	193681	193684	195862	176058	161009	158470	206858	170048	165657	166387	158555	168874	188678	187190	186464	177425	197115	189466	202716	208015	203878	203512	184345	167441	159183	167019	167019	178321	181543	186878	180836	152888
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-328634	-323093	-323093	-317561	-312024	-306370	-300760	-300760	-294674	-288978	-283129	-277481	-277481	-271918	-266255	-261266	-255473	-255473	-248943	-242300	-235553	-229118	-229118	-223014	-216591	-210090	-203658	-203658	-197135	-190640	-184146	-177684	-177684	-171963	-167841	-162141	-156508	-156508	-150929	-145545	-140086	-134747	-134758	-129091	-124056	-118789	-113915	-114036	-109235	-104415	-99063	-94474	-94474	-89758	-93205	-84223	-75996	-75996	-68151	-60589	-46075	-22178	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-736	-730	-730	-724	-718	-711	-705	-705	-700	-700	-700	-700	-700	-700	-700	-700	-700	-700	-700	-700	-700	-700	-700	-700	-700	-776	-769	-769	-762	-755	-748	-721	-721	-689	-657	-611	-570	-570	-528	-486	-451	-416	-416	-96408	-95801	-95205	-94608	-94608	-94013	-93415	-92816	-92223	-92223	-91670	-99505	-94701	-89969	-89969	-85357	-80836	-71795	-53712	0
